SUBCOUNTY,HEALTH FACILITY,PERIOD,POPN,BCG,Polio0,HepB0,Polio1,Polio2,Polio3,IPV,IPV2,PENTA1,PENTA2,PENTA3,PCV1,PCV2,PCV3,Rota1 ,Rota2,Rota3,MR1,YF,Fully_imm,MR2,HPV1-Dose 1,HPV2-Dose 2,VitA1,VitA2,DEW1,DEW2,BCG_POLIO_TARGET,EPI_TARGET,HPV_TARGET,DEW_TARGET,VITA_TARGET
Kasawo Town Council,Kasawo Mission Health Centre III,Dec-24,558.3,15,0,4,26,26,24,26,24,26,26,24,26,26,24,26,26,24,21,21,21,0,0,0,36,17,12,16,27.1,24,8.6,232.8,101.1
Kasawo Town Council,Kasawo Mission Health Centre III,Jan-25,558.3,60,33,21,39,32,65,39,65,39,32,65,39,32,65,39,32,65,37,37,37,13,0,0,71,28,125,83,27.1,24,8.6,232.8,101.1
Kasawo Town Council,Kasawo Mission Health Centre III,Feb-25,558.3,45,15,10,43,44,42,42,45,42,44,42,42,44,41,42,45,42,916,64,37,24,0,0,26,28,37,6,27.1,24,8.6,232.8,101.1
Kasawo Town Council,Kasawo Mission Health Centre III,Mar-25,558.3,42,29,11,42,32,49,42,32,42,32,49,42,32,49,42,32,49,28,28,28,1,0,0,51,0,6,8,27.1,24,8.6,232.8,101.1
Kasawo Town Council,Kasawo Town Council,Jul-24,2983.3,126,94,63,121,118,115,121,98,121,118,115,121,118,115,122,117,113,90,87,87,37,2,2,186,155,137,358,144.7,128.3,45.9,1244,540
Kasawo Town Council,Kasawo Town Council,Aug-24,2983.3,115,81,42,101,97,101,101,99,101,97,101,101,97,101,101,97,99,76,76,71,21,0,0,367,187,434,472,144.7,128.3,45.9,1244,540
Kasawo Town Council,Kasawo Town Council,Sep-24,2983.3,122,93,36,126,107,108,125,108,126,107,109,126,107,108,125,106,108,101,98,97,32,5,0,242,125,233,255,144.7,128.3,45.9,1244,540
Kasawo Town Council,Kasawo Town Council,Oct-24,2983.3,138,98,34,146,125,110,126,111,146,125,110,139,123,111,139,123,123,100,92,97,43,281,62,1147,640,2513,1845,144.7,128.3,45.9,1244,540
Kasawo Town Council,Kasawo Town Council,Nov-24,2983.3,204,107,17,239,166,318,239,318,238,166,318,239,166,318,158,139,315,699,311,312,1126,465,54,1198,831,1975,1779,144.7,128.3,45.9,1244,540
Kasawo Town Council,Kasawo Town Council,Dec-24,2983.3,82,46,29,95,85,96,95,96,95,85,96,95,85,96,94,84,96,68,66,65,12,0,0,131,40,54,39,144.7,128.3,45.9,1244,540
Kasawo Town Council,Kasawo Town Council,Jan-25,2983.3,153,80,21,117,74,114,144,136,144,96,137,144,96,137,144,96,136,108,108,108,37,0,0,197,86,224,141,144.7,128.3,45.9,1244,540
Kasawo Town Council,Kasawo Town Council,Feb-25,2983.3,153,104,77,140,143,114,139,117,139,143,114,139,143,113,139,143,114,974,122,92,61,20,0,139,82,87,60,144.7,128.3,45.9,1244,540
Kasawo Town Council,Kasawo Town Council,Mar-25,2983.3,130,96,54,140,115,144,140,127,140,115,144,140,115,144,139,115,143,81,81,81,25,0,0,179,65,55,73,144.7,128.3,45.9,1244,540
Kimenyedde Subcounty,Kimenyedde Health Centre II,Jul-24,550,26,13,2,21,38,31,21,25,21,38,32,21,38,31,21,39,31,26,28,33,4,0,0,25,44,58,22,26.7,23.7,8.5,229.4,99.6
Kimenyedde Subcounty,Kimenyedde Health Centre II,Aug-24,550,12,10,0,27,11,31,27,23,27,11,29,27,11,31,27,11,23,17,17,27,3,0,0,68,0,285,0,26.7,23.7,8.5,229.4,99.6
Kimenyedde Subcounty,Kimenyedde Health Centre II,Sep-24,550,26,14,7,24,32,11,24,10,24,32,11,24,32,11,24,29,11,39,33,25,4,0,0,202,20,451,153,26.7,23.7,8.5,229.4,99.6
Kimenyedde Subcounty,Kimenyedde Health Centre II,Oct-24,550,25,14,10,36,25,36,36,38,36,25,34,36,25,36,36,25,24,23,24,23,5,0,0,68,229,309,74,26.7,23.7,8.5,229.4,99.6
Kimenyedde Subcounty,Kimenyedde Health Centre II,Nov-24,550,47,0,0,31,34,28,31,35,31,34,35,31,34,35,31,34,26,62,99,29,85,0,0,399,0,1031,0,26.7,23.7,8.5,229.4,99.6
Kimenyedde Subcounty,Kimenyedde Health Centre II,Dec-24,550,13,12,0,26,23,21,26,21,26,23,21,26,23,21,26,23,21,9,9,3,0,0,0,159,0,372,0,26.7,23.7,8.5,229.4,99.6
Kimenyedde Subcounty,Kimenyedde Health Centre II,Jan-25,550,30,12,18,18,11,6,31,29,31,35,29,31,34,31,31,34,31,29,30,14,10,0,0,70,24,126,22,26.7,23.7,8.5,229.4,99.6
Kimenyedde Subcounty,Kimenyedde Health Centre II,Feb-25,550,32,8,11,34,33,37,33,37,32,33,35,32,31,35,27,26,29,149,30,20,403,10,0,474,171,775,171,26.7,23.7,8.5,229.4,99.6
Kimenyedde Subcounty,Kimenyedde Health Centre II,Mar-25,550,26,12,9,31,25,33,31,33,31,25,33,31,25,33,31,25,33,33,26,128,7,0,0,199,53,139,53,26.7,23.7,8.5,229.4,99.6
Kimenyedde Subcounty,Nakifuma Health Centre III,Jul-24,3308.3,245,174,94,185,155,194,181,193,218,172,238,210,173,210,221,203,20,194,191,194,50,205,165,269,77,75,77,160.5,142.3,50.9,1379.6,598.8
Kimenyedde Subcounty,Nakifuma Health Centre III,Aug-24,3308.3,295,160,0,213,157,189,213,123,196,156,179,197,156,165,191,171,111,187,187,187,29,0,0,425,15,232,25,160.5,142.3,50.9,1379.6,598.8
Kimenyedde Subcounty,Nakifuma Health Centre III,Sep-24,3308.3,311,142,0,143,134,96,119,84,168,173,145,176,174,140,179,184,98,196,221,196,21,0,0,432,42,385,52,160.5,142.3,50.9,1379.6,598.8
Kimenyedde Subcounty,Nakifuma Health Centre III,Oct-24,3308.3,373,173,173,255,197,181,288,146,254,209,220,254,207,209,255,193,155,214,219,212,45,0,0,372,189,210,83,160.5,142.3,50.9,1379.6,598.8
Kimenyedde Subcounty,Nakifuma Health Centre III,Nov-24,3308.3,308,79,59,150,147,182,266,202,317,265,344,295,258,343,293,264,291,385,387,258,363,119,383,5629,3199,5790,3308,160.5,142.3,50.9,1379.6,598.8
Kimenyedde Subcounty,Nakifuma Health Centre III,Dec-24,3308.3,236,0,64,0,0,0,213,110,177,157,162,179,168,163,180,161,114,154,143,154,55,0,1,282,14,129,22,160.5,142.3,50.9,1379.6,598.8
Kimenyedde Subcounty,Nakifuma Health Centre III,Jan-25,3308.3,352,75,59,157,75,39,151,95,162,68,62,228,227,186,192,188,112,192,195,123,72,0,0,400,125,166,114,160.5,142.3,50.9,1379.6,598.8
Kimenyedde Subcounty,Nakifuma Health Centre III,Feb-25,3308.3,244,104,71,211,174,130,202,145,189,153,113,183,211,176,129,108,77,380,196,176,1123,0,0,385,138,208,120,160.5,142.3,50.9,1379.6,598.8
Kimenyedde Subcounty,Nakifuma Health Centre III,Mar-25,3308.3,274,152,82,300,262,231,229,124,267,238,211,206,199,188,230,200,105,192,190,57,56,15,0,321,51,213,5,160.5,142.3,50.9,1379.6,598.8
Kimenyedde Subcounty,Kimenyedde Subcounty,Jul-24,3858.3,271,187,96,206,193,225,202,218,239,210,270,231,211,241,242,242,51,220,219,227,54,205,165,294,121,133,99,187.1,165.9,59.4,1608.9,698.4
Kimenyedde Subcounty,Kimenyedde Subcounty,Aug-24,3858.3,307,170,0,240,168,220,240,146,223,167,208,224,167,196,218,182,134,204,204,214,32,0,0,493,15,517,25,187.1,165.9,59.4,1608.9,698.4
Kimenyedde Subcounty,Kimenyedde Subcounty,Sep-24,3858.3,337,156,7,167,166,107,143,94,192,205,156,200,206,151,203,213,109,235,254,221,25,0,0,634,62,836,205,187.1,165.9,59.4,1608.9,698.4
Kimenyedde Subcounty,Kimenyedde Subcounty,Oct-24,3858.3,398,187,183,291,222,217,324,184,290,234,254,290,232,245,291,218,179,237,243,235,50,0,0,440,418,519,157,187.1,165.9,59.4,1608.9,698.4
Kimenyedde Subcounty,Kimenyedde Subcounty,Nov-24,3858.3,355,79,59,181,181,210,297,237,348,299,379,326,292,378,324,298,317,447,486,287,448,119,383,6028,3199,6821,3308,187.1,165.9,59.4,1608.9,698.4
Kimenyedde Subcounty,Kimenyedde Subcounty,Dec-24,3858.3,249,12,64,26,23,21,239,131,203,180,183,205,191,184,206,184,135,163,152,157,55,0,1,441,14,501,22,187.1,165.9,59.4,1608.9,698.4
Kimenyedde Subcounty,Kimenyedde Subcounty,Jan-25,3858.3,382,87,77,175,86,45,182,124,193,103,91,259,261,217,223,222,143,221,225,137,82,0,0,470,149,292,136,187.1,165.9,59.4,1608.9,698.4
Kimenyedde Subcounty,Kimenyedde Subcounty,Feb-25,3858.3,276,112,82,245,207,167,235,182,221,186,148,215,242,211,156,134,106,529,226,196,1526,10,0,859,309,983,291,187.1,165.9,59.4,1608.9,698.4
Kimenyedde Subcounty,Kimenyedde Subcounty,Mar-25,3858.3,300,164,91,331,287,264,260,157,298,263,244,237,224,221,261,225,138,225,216,185,63,15,0,520,104,352,58,187.1,165.9,59.4,1608.9,698.4
Koome island Subcounty,Damba Health Centre II,Jul-24,358.3,2,0,0,8,10,8,8,4,5,7,12,9,9,8,8,10,12,10,9,0,0,0,0,4,7,11,0,17.4,15.4,5.5,149.4,64.9
Koome island Subcounty,Damba Health Centre II,Aug-24,358.3,4,0,1,14,10,7,14,3,14,9,7,14,9,7,14,9,7,3,9,3,0,0,0,18,0,14,0,17.4,15.4,5.5,149.4,64.9
Koome island Subcounty,Damba Health Centre II,Sep-24,358.3,9,4,2,3,11,10,0,9,4,11,10,3,11,8,3,11,10,6,9,6,8,0,0,17,0,7,11,17.4,15.4,5.5,149.4,64.9
Koome island Subcounty,Damba Health Centre II,Oct-24,358.3,8,2,3,9,6,10,10,9,9,6,10,9,6,10,9,6,10,6,10,6,3,0,0,8,12,10,12,17.4,15.4,5.5,149.4,64.9
Koome island Subcounty,Damba Health Centre II,Nov-24,358.3,7,4,7,15,4,8,16,3,13,4,9,13,4,6,7,4,9,41,8,40,62,24,20,12,34,159,164,17.4,15.4,5.5,149.4,64.9
Koome island Subcounty,Damba Health Centre II,Dec-24,358.3,4,5,0,8,14,11,8,0,7,12,4,8,12,10,7,11,0,7,0,7,6,0,0,42,5,23,10,17.4,15.4,5.5,149.4,64.9
Koome island Subcounty,Damba Health Centre II,Jan-25,358.3,13,4,0,19,20,13,39,0,18,19,13,18,18,10,19,21,0,15,0,2,14,0,0,18,26,63,99,17.4,15.4,5.5,149.4,64.9
Koome island Subcounty,Damba Health Centre II,Feb-25,358.3,14,5,0,17,16,10,10,0,8,17,16,8,18,16,8,15,0,210,0,77,298,0,0,84,20,95,107,17.4,15.4,5.5,149.4,64.9
Koome island Subcounty,Damba Health Centre II,Mar-25,358.3,7,0,1,9,6,12,10,8,5,6,11,9,8,8,5,10,8,8,4,0,0,0,0,17,0,41,0,17.4,15.4,5.5,149.4,64.9
Koome island Subcounty,Kansambwe Health Centre II,Jul-24,275,14,8,6,16,4,11,26,11,15,4,11,15,4,11,15,4,11,5,5,5,3,0,0,16,14,15,1,13.3,11.8,4.2,114.7,49.8
Koome island Subcounty,Kansambwe Health Centre II,Aug-24,275,10,4,4,16,13,5,21,5,16,13,5,16,13,5,16,13,5,11,11,11,8,7,3,6,10,9,1,13.3,11.8,4.2,114.7,49.8
Koome island Subcounty,Kansambwe Health Centre II,Sep-24,275,10,7,7,17,16,15,32,15,17,16,15,17,16,15,17,16,15,5,5,5,2,6,0,13,9,9,0,13.3,11.8,4.2,114.7,49.8
Koome island Subcounty,Kansambwe Health Centre II,Oct-24,275,15,13,13,7,17,23,30,23,6,17,23,6,17,23,6,17,23,18,18,18,5,20,10,452,0,919,0,13.3,11.8,4.2,114.7,49.8
Koome island Subcounty,Kansambwe Health Centre II,Nov-24,275,3,1,1,26,11,23,45,23,26,11,23,26,11,23,25,11,23,20,19,19,15,7,0,50,53,33,40,13.3,11.8,4.2,114.7,49.8
Koome island Subcounty,Kansambwe Health Centre II,Dec-24,275,3,2,2,5,11,15,5,15,5,11,15,5,11,15,5,11,7,7,0,7,2,0,0,17,1,9,1,13.3,11.8,4.2,114.7,49.8
Koome island Subcounty,Kansambwe Health Centre II,Jan-25,275,4,2,2,15,7,6,21,6,15,7,6,15,7,6,15,7,6,8,8,8,2,0,0,5,1,6,0,13.3,11.8,4.2,114.7,49.8
Koome island Subcounty,Kansambwe Health Centre II,Feb-25,275,7,4,4,11,10,7,18,7,11,10,7,11,10,7,11,3,7,28,28,28,12,0,0,0,22,4,0,13.3,11.8,4.2,114.7,49.8
Koome island Subcounty,Kansambwe Health Centre II,Mar-25,275,12,9,9,9,15,15,24,15,9,15,15,9,15,15,9,15,0,14,14,14,3,0,0,8,13,7,6,13.3,11.8,4.2,114.7,49.8
Koome island Subcounty,Koome Health Centre III,Jul-24,1216.7,9,9,6,26,34,25,26,26,26,38,25,26,34,25,26,34,25,22,22,24,8,109,0,300,0,736,0,59,52.3,18.7,507.4,220.2
Koome island Subcounty,Koome Health Centre III,Aug-24,1216.7,27,12,9,38,39,36,38,36,38,39,36,38,39,36,38,39,36,23,22,38,3,109,0,0,0,0,0,59,52.3,18.7,507.4,220.2
Koome island Subcounty,Koome Health Centre III,Sep-24,1216.7,13,6,6,25,20,15,25,22,25,20,21,25,20,21,25,20,22,28,28,26,3,24,0,49,49,0,0,59,52.3,18.7,507.4,220.2
Koome island Subcounty,Koome Health Centre III,Oct-24,1216.7,21,16,16,32,48,25,32,48,32,48,25,32,48,25,32,48,25,31,23,72,10,48,0,285,0,581,0,59,52.3,18.7,507.4,220.2
Koome island Subcounty,Koome Health Centre III,Nov-24,1216.7,26,5,5,63,48,56,63,48,63,48,56,63,48,56,63,48,56,98,28,241,98,115,5,594,682,1932,1228,59,52.3,18.7,507.4,220.2
Koome island Subcounty,Koome Health Centre III,Dec-24,1216.7,15,2,2,22,27,28,22,28,22,27,28,22,27,28,22,27,28,18,19,36,9,15,0,20,11,30,56,59,52.3,18.7,507.4,220.2
Koome island Subcounty,Koome Health Centre III,Jan-25,1216.7,12,5,7,24,38,29,24,29,24,38,29,24,38,29,24,38,29,21,22,35,12,8,0,82,61,121,110,59,52.3,18.7,507.4,220.2
Koome island Subcounty,Koome Health Centre III,Feb-25,1216.7,32,12,8,35,43,48,35,48,35,43,48,35,43,48,35,43,48,48,48,113,756,0,0,0,0,0,0,59,52.3,18.7,507.4,220.2
Koome island Subcounty,Koome Health Centre III,Mar-25,1216.7,23,10,10,42,32,44,42,44,43,32,44,42,32,44,42,32,44,21,21,111,21,0,0,28,22,0,0,59,52.3,18.7,507.4,220.2
Koome island Subcounty,Myende Health Centre II,Jul-24,175,6,0,3,5,8,6,7,6,5,7,6,5,8,6,5,8,10,7,7,0,3,6,0,33,18,39,30,8.5,7.5,2.7,73,31.7
Koome island Subcounty,Myende Health Centre II,Aug-24,175,3,1,1,8,5,7,8,8,8,5,7,8,5,7,5,7,7,6,6,6,4,0,0,19,20,81,70,8.5,7.5,2.7,73,31.7
Koome island Subcounty,Myende Health Centre II,Sep-24,175,4,3,3,7,4,8,7,7,7,4,8,7,4,8,7,4,9,9,9,8,0,2,11,53,46,92,110,8.5,7.5,2.7,73,31.7
Koome island Subcounty,Myende Health Centre II,Oct-24,175,3,1,0,10,8,7,10,7,10,8,7,10,8,7,10,8,7,8,5,5,2,9,0,36,29,58,89,8.5,7.5,2.7,73,31.7
Koome island Subcounty,Myende Health Centre II,Nov-24,175,4,5,14,8,12,9,39,29,6,12,9,6,12,9,4,9,0,28,49,12,28,9,0,156,331,303,228,8.5,7.5,2.7,73,31.7
Koome island Subcounty,Myende Health Centre II,Dec-24,175,8,7,0,3,2,11,12,0,3,2,9,3,3,8,3,2,0,8,0,0,4,0,0,3,10,10,3,8.5,7.5,2.7,73,31.7
Koome island Subcounty,Myende Health Centre II,Jan-25,175,11,6,0,14,3,8,18,0,10,5,7,14,5,8,14,4,0,13,0,11,10,0,0,80,75,82,50,8.5,7.5,2.7,73,31.7
Koome island Subcounty,Myende Health Centre II,Feb-25,175,5,2,0,16,14,6,17,0,18,15,5,16,14,5,22,20,0,17,0,6,0,0,0,140,110,105,185,8.5,7.5,2.7,73,31.7
Koome island Subcounty,Myende Health Centre II,Mar-25,175,5,3,0,7,15,11,18,0,8,15,10,7,15,11,0,0,0,13,0,8,11,26,0,7,67,40,78,8.5,7.5,2.7,73,31.7
Koome island Subcounty,Koome island Subcounty,Jul-24,2025,31,17,15,55,56,50,67,47,51,56,54,55,55,50,54,56,58,44,43,29,14,115,0,353,39,801,31,98.2,87.1,31.2,844.4,366.5
Koome island Subcounty,Koome island Subcounty,Aug-24,2025,44,17,15,76,67,55,81,52,76,66,55,76,66,55,73,68,55,43,48,58,15,116,3,43,30,104,71,98.2,87.1,31.2,844.4,366.5
Koome island Subcounty,Koome island Subcounty,Sep-24,2025,36,20,18,52,51,48,64,53,53,51,54,52,51,52,52,51,56,48,51,45,13,32,11,132,104,108,121,98.2,87.1,31.2,844.4,366.5
Koome island Subcounty,Koome island Subcounty,Oct-24,2025,47,32,32,58,79,65,82,87,57,79,65,57,79,65,57,79,65,63,56,101,20,77,10,781,41,1568,101,98.2,87.1,31.2,844.4,366.5
Koome island Subcounty,Koome island Subcounty,Nov-24,2025,40,15,27,112,75,96,163,103,108,75,97,108,75,94,99,72,88,187,104,312,203,155,25,812,1100,2427,1660,98.2,87.1,31.2,844.4,366.5
Koome island Subcounty,Koome island Subcounty,Dec-24,2025,30,16,4,38,54,65,47,43,37,52,56,38,53,61,37,51,35,40,19,50,21,15,0,82,27,72,70,98.2,87.1,31.2,844.4,366.5
Koome island Subcounty,Koome island Subcounty,Jan-25,2025,40,17,9,72,68,56,102,35,67,69,55,71,68,53,72,70,35,57,30,56,38,8,0,185,163,272,259,98.2,87.1,31.2,844.4,366.5
Koome island Subcounty,Koome island Subcounty,Feb-25,2025,58,23,12,79,83,71,80,55,72,85,76,70,85,76,76,81,55,303,76,224,1066,0,0,224,152,204,292,98.2,87.1,31.2,844.4,366.5
Koome island Subcounty,Koome island Subcounty,Mar-25,2025,47,22,20,67,68,82,94,67,65,68,80,67,70,78,56,57,52,56,39,133,35,26,0,60,102,88,84,98.2,87.1,31.2,844.4,366.5
Kyampisi Subcounty,Buntaba Health Centre II,Jul-24,458.3,18,10,4,22,17,16,22,16,22,17,15,22,16,12,15,15,15,20,19,19,3,0,0,25,24,462,0,22.2,19.7,7.1,191.1,83
Kyampisi Subcounty,Buntaba Health Centre II,Aug-24,458.3,4,14,4,31,33,31,26,17,31,33,31,32,33,31,3,7,31,18,18,18,7,0,0,209,173,173,173,22.2,19.7,7.1,191.1,83
Kyampisi Subcounty,Buntaba Health Centre II,Sep-24,458.3,18,14,14,22,23,30,22,59,22,23,30,22,23,29,21,17,30,21,26,16,6,0,0,52,10,59,14,22.2,19.7,7.1,191.1,83
Kyampisi Subcounty,Buntaba Health Centre II,Oct-24,458.3,10,6,6,21,16,23,15,24,16,18,21,16,23,21,20,22,21,14,13,14,8,0,0,153,58,20,433,22.2,19.7,7.1,191.1,83
Kyampisi Subcounty,Buntaba Health Centre II,Nov-24,458.3,11,5,5,22,19,31,27,33,24,20,38,22,20,35,22,19,38,30,20,14,33,169,0,803,168,1354,488,22.2,19.7,7.1,191.1,83
Kyampisi Subcounty,Buntaba Health Centre II,Dec-24,458.3,9,7,0,21,21,20,20,18,25,21,18,21,21,20,21,21,0,20,19,20,3,0,0,0,0,0,0,22.2,19.7,7.1,191.1,83
Kyampisi Subcounty,Buntaba Health Centre II,Jan-25,458.3,20,1,0,30,20,35,31,30,30,20,28,31,19,30,30,18,30,16,19,16,0,0,0,43,0,54,0,22.2,19.7,7.1,191.1,83
Kyampisi Subcounty,Buntaba Health Centre II,Feb-25,458.3,17,15,0,34,32,20,34,41,30,27,29,30,27,29,30,27,41,23,23,23,636,0,0,44,0,29,0,22.2,19.7,7.1,191.1,83
Kyampisi Subcounty,Buntaba Health Centre II,Mar-25,458.3,13,10,0,28,30,30,28,30,28,30,30,28,30,30,16,13,18,20,20,20,9,0,0,16,0,22,0,22.2,19.7,7.1,191.1,83
Kyampisi Subcounty,Kyampisi Health Centre III,Jul-24,3066.7,91,53,22,132,98,96,236,168,96,122,103,94,114,109,138,107,96,121,167,111,74,27,3,175,433,396,6399,148.7,131.9,47.2,1278.8,555.1
Kyampisi Subcounty,Kyampisi Health Centre III,Aug-24,3066.7,99,48,23,63,79,59,199,102,105,129,93,106,125,95,80,79,66,112,116,82,42,0,0,177,0,291,982,148.7,131.9,47.2,1278.8,555.1
Kyampisi Subcounty,Kyampisi Health Centre III,Sep-24,3066.7,99,53,0,88,79,110,93,113,97,94,111,99,104,197,96,84,110,98,101,77,47,36,0,187,254,1180,1365,148.7,131.9,47.2,1278.8,555.1
Kyampisi Subcounty,Kyampisi Health Centre III,Oct-24,3066.7,87,88,0,137,106,94,138,119,126,70,122,139,108,121,125,92,122,95,129,33,66,13,193,225,294,610,13040,148.7,131.9,47.2,1278.8,555.1
Kyampisi Subcounty,Kyampisi Health Centre III,Nov-24,3066.7,186,54,14,241,108,332,241,332,241,111,330,241,106,332,225,106,332,355,355,20,457,308,266,24,180,449,1059,148.7,131.9,47.2,1278.8,555.1
Kyampisi Subcounty,Kyampisi Health Centre III,Dec-24,3066.7,75,40,30,52,73,38,85,72,32,54,32,95,121,74,77,102,72,104,103,18,38,0,0,184,359,0,445,148.7,131.9,47.2,1278.8,555.1
Kyampisi Subcounty,Kyampisi Health Centre III,Jan-25,3066.7,122,36,40,57,41,38,38,45,45,70,50,133,104,108,62,46,35,147,147,37,53,0,0,206,410,135,157,148.7,131.9,47.2,1278.8,555.1
Kyampisi Subcounty,Kyampisi Health Centre III,Feb-25,3066.7,138,91,51,154,116,108,118,96,166,118,121,147,113,112,112,130,99,116,0,68,1423,11,3,637,1041,1120,479,148.7,131.9,47.2,1278.8,555.1
Kyampisi Subcounty,Kyampisi Health Centre III,Mar-25,3066.7,139,107,62,228,137,143,146,123,145,129,124,139,128,128,165,139,123,123,120,100,57,8,6,219,518,0,0,148.7,131.9,47.2,1278.8,555.1
Kyampisi Subcounty,Mbaliga Health Centre II,Jul-24,700,18,14,2,55,44,44,65,44,65,48,52,65,48,52,55,44,44,57,56,48,14,0,0,7,35,62,0,34,30.1,10.8,291.9,126.7
Kyampisi Subcounty,Mbaliga Health Centre II,Aug-24,700,6,2,1,30,50,25,30,26,30,50,25,30,50,25,29,50,26,50,47,43,10,0,0,21,0,14,64,34,30.1,10.8,291.9,126.7
Kyampisi Subcounty,Mbaliga Health Centre II,Sep-24,700,13,5,2,31,20,39,31,9,31,20,39,31,20,39,31,20,39,24,28,24,18,0,0,6,12,12,66,34,30.1,10.8,291.9,126.7
Kyampisi Subcounty,Mbaliga Health Centre II,Oct-24,700,20,16,7,45,34,35,45,35,45,34,35,45,34,35,45,34,35,48,48,48,15,64,0,6,24,0,429,34,30.1,10.8,291.9,126.7
Kyampisi Subcounty,Mbaliga Health Centre II,Nov-24,700,12,11,5,38,43,35,38,35,38,43,35,38,43,35,38,43,38,24,24,24,8,471,0,22,18,18,2632,34,30.1,10.8,291.9,126.7
Kyampisi Subcounty,Mbaliga Health Centre II,Dec-24,700,15,11,8,29,31,32,31,35,31,37,35,31,37,35,31,37,35,25,25,25,13,0,0,5,0,11,0,34,30.1,10.8,291.9,126.7
Kyampisi Subcounty,Mbaliga Health Centre II,Jan-25,700,19,4,4,32,32,32,41,63,41,58,63,41,57,63,41,57,63,33,33,33,8,0,0,24,19,19,59,34,30.1,10.8,291.9,126.7
Kyampisi Subcounty,Mbaliga Health Centre II,Feb-25,700,18,15,7,31,47,45,32,52,33,48,50,33,48,50,32,48,52,38,31,0,782,0,0,17,33,12,15,34,30.1,10.8,291.9,126.7
Kyampisi Subcounty,Mbaliga Health Centre II,Mar-25,700,15,11,0,52,39,53,52,53,52,39,53,52,39,53,52,39,53,35,35,35,14,0,0,138,17,17,5,34,30.1,10.8,291.9,126.7
Kyampisi Subcounty,Namasumbi Health Centre II,Jul-24,650,8,4,4,13,10,6,21,7,14,15,8,14,14,8,17,10,16,15,37,15,2,0,0,0,0,0,0,31.5,28,10,271.1,117.7
Kyampisi Subcounty,Namasumbi Health Centre II,Aug-24,650,11,5,5,17,13,19,38,19,19,16,20,19,15,21,20,15,20,19,17,18,4,0,0,0,0,0,0,31.5,28,10,271.1,117.7
Kyampisi Subcounty,Namasumbi Health Centre II,Sep-24,650,11,10,10,6,21,15,26,18,6,18,15,7,19,15,6,19,17,12,9,13,2,0,0,0,0,0,0,31.5,28,10,271.1,117.7
Kyampisi Subcounty,Namasumbi Health Centre II,Oct-24,650,8,1,1,18,14,17,41,16,18,16,22,22,14,22,19,19,22,23,22,4,4,0,0,0,0,0,0,31.5,28,10,271.1,117.7
Kyampisi Subcounty,Namasumbi Health Centre II,Nov-24,650,17,9,9,18,10,7,26,10,16,9,10,15,9,10,16,14,10,13,23,13,0,0,0,0,0,0,0,31.5,28,10,271.1,117.7
Kyampisi Subcounty,Namasumbi Health Centre II,Dec-24,650,3,1,0,3,2,5,7,0,3,2,5,3,2,5,3,2,0,1,0,1,0,0,0,4,7,8,0,31.5,28,10,271.1,117.7
Kyampisi Subcounty,Namasumbi Health Centre II,Jan-25,650,17,3,0,20,16,20,31,0,21,16,16,20,16,16,21,16,22,20,24,0,8,0,0,0,0,0,0,31.5,28,10,271.1,117.7
Kyampisi Subcounty,Namasumbi Health Centre II,Feb-25,650,8,3,0,20,15,13,33,13,18,15,12,20,15,12,20,15,0,16,16,16,0,0,0,0,0,0,0,31.5,28,10,271.1,117.7
Kyampisi Subcounty,Namasumbi Health Centre II,Mar-25,650,16,6,1,14,20,20,15,20,17,20,20,17,20,20,17,20,20,14,14,0,0,0,0,0,0,0,0,31.5,28,10,271.1,117.7
Kyampisi Subcounty,Kyampisi Subcounty,Jul-24,4875,135,81,32,222,169,162,344,235,197,202,178,195,192,181,225,176,171,213,279,193,93,27,3,207,492,920,6399,236.4,209.6,75.1,2032.9,882.4
Kyampisi Subcounty,Kyampisi Subcounty,Aug-24,4875,120,69,33,141,175,134,293,164,185,228,169,187,223,172,132,151,143,199,198,161,63,0,0,407,173,478,1219,236.4,209.6,75.1,2032.9,882.4
Kyampisi Subcounty,Kyampisi Subcounty,Sep-24,4875,141,82,26,147,143,194,172,199,156,155,195,159,166,280,154,140,196,155,164,130,73,36,0,245,276,1251,1445,236.4,209.6,75.1,2032.9,882.4
Kyampisi Subcounty,Kyampisi Subcounty,Oct-24,4875,145,142,14,273,197,200,291,194,257,165,231,274,206,230,256,189,200,208,212,127,95,77,193,407,413,630,13902,236.4,209.6,75.1,2032.9,882.4
Kyampisi Subcounty,Kyampisi Subcounty,Nov-24,4875,226,79,33,319,180,405,332,410,319,183,413,316,178,412,301,182,418,422,422,71,498,948,266,849,366,1821,4179,236.4,209.6,75.1,2032.9,882.4
Kyampisi Subcounty,Kyampisi Subcounty,Dec-24,4875,102,59,38,105,127,95,143,125,91,114,90,150,181,134,132,162,107,150,147,64,54,0,0,193,366,19,445,236.4,209.6,75.1,2032.9,882.4
Kyampisi Subcounty,Kyampisi Subcounty,Jan-25,4875,213,70,44,155,120,140,203,138,164,184,178,280,227,255,187,153,150,243,223,113,83,0,0,273,429,208,216,236.4,209.6,75.1,2032.9,882.4
Kyampisi Subcounty,Kyampisi Subcounty,Feb-25,4875,181,124,58,239,210,186,217,202,247,208,212,230,203,203,194,220,192,193,70,107,2841,11,3,698,1074,1161,494,236.4,209.6,75.1,2032.9,882.4
